Location	Population (in thousands) total	Population median age (years)	Population proportion under 15 (%)	Population proportion over 60 (%)	Population living in urban areas (%)	Annual population growth rate (%)
Afghanistan	28150	17	46	4	24	0.3
Albania	3155	30	24	13	47	0
Algeria	34895	26	27	7	66	0.2
Andorra	86	 	14	22	88	0.1
Angola	18498	17	45	4	58	0.3
Antigua and Barbuda	88	 	27	12	30	0.1
Argentina	40276	30	25	15	92	0.1
Armenia	3083	32	20	14	64	0
Australia	21293	38	19	19	89	0.1
Austria	8364	41	15	23	67	0
Azerbaijan	8832	28	24	9	52	0.1
Bahamas	342	29	26	10	84	0.1
Bahrain	791	28	26	4	89	0.2
Bangladesh	162221	24	31	6	28	0.1
Barbados	256	37	17	15	40	0
Belarus	9634	38	15	18	74	0
Belgium	10647	41	17	23	97	0.1
Belize	307	22	35	6	52	0.2
Benin	8935	18	43	5	42	0.3
Bhutan	697	24	31	7	36	0.2
Bolivia (Plurinational State of)	9863	22	36	7	66	0.2
Bosnia and Herzegovina	3767	39	15	19	48	0
Botswana	1950	22	33	6	60	0.1
Brazil	193734	29	26	10	86	0.1
Brunei Darussalam	400	28	27	6	75	0.2
Bulgaria	7545	42	13	24	71	-0.1
Burkina Faso	15757	17	46	3	20	0.3
Burundi	8303	20	38	4	11	0.3
Cambodia	14805	22	33	6	22	0.2
Cameroon	19522	19	41	5	58	0.2
Canada	33573	40	17	20	80	0.1
Cape Verde	506	21	36	5	60	0.1
Central African Republic	4422	19	41	6	39	0.2
Chad	11206	17	46	4	27	0.3
Chile	16970	32	23	13	89	0.1
China	1353311	34	20	12	44	0.1
Colombia	45660	26	29	8	75	0.1
Comoros	676	21	38	5	28	0.2
Congo	3683	19	40	6	62	0.2
Cook Islands	20	 	33	8	75	0.1
Costa Rica	4579	28	26	9	64	0.1
Croatia	4416	41	15	23	57	0
Cuba	11204	38	18	17	76	0
Cyprus	871	36	18	18	70	0.1
Czech Republic	10369	39	14	22	73	0
Côte d'Ivoire	21075	19	41	6	49	0.2
Democratic People's Republic of Korea	23906	34	22	14	63	0
Democratic Republic of the Congo	66020	17	47	4	35	0.3
Denmark	5470	41	18	23	87	0
